country,date,bond_yield
IE,1993-01-01,9.8755
IE,1993-02-01,9.2625
IE,1993-03-01,8.6195
IE,1993-04-01,8.1135
IE,1993-05-01,7.8319
IE,1993-06-01,7.6067
IE,1993-07-01,7.3209
IE,1993-08-01,7.1105
IE,1993-09-01,7.0055
IE,1993-10-01,6.7081
IE,1993-11-01,6.5655
IE,1993-12-01,6.38
IE,1994-01-01,6.151
IE,1994-02-01,6.4465
IE,1994-03-01,7.0741
IE,1994-04-01,7.5732
IE,1994-05-01,7.9638
IE,1994-06-01,8.5019
IE,1994-07-01,8.3433
IE,1994-08-01,8.4341
IE,1994-09-01,8.8155
IE,1994-10-01,8.6825
IE,1994-11-01,8.5123
IE,1994-12-01,8.5684
IE,1995-01-01,8.79
IE,1995-02-01,8.6745
IE,1995-03-01,8.7955
IE,1995-04-01,8.6967
IE,1995-05-01,8.3373
IE,1995-06-01,8.2557
IE,1995-07-01,8.3933
IE,1995-08-01,8.1473
IE,1995-09-01,7.9586
IE,1995-10-01,7.9871
IE,1995-11-01,7.6318
IE,1995-12-01,7.375
IE,1996-01-01,7.2323
IE,1996-02-01,7.491
IE,1996-03-01,7.8185
IE,1996-04-01,7.6055
IE,1996-05-01,7.4964
IE,1996-06-01,7.6242
IE,1996-07-01,7.4939
IE,1996-08-01,7.4305
IE,1996-09-01,7.2148
IE,1996-10-01,6.7759
IE,1996-11-01,6.6843
IE,1996-12-01,6.6126
IE,1997-01-01,6.59
IE,1997-02-01,6.3255
IE,1997-03-01,6.6217
IE,1997-04-01,6.6905
IE,1997-05-01,6.5533
IE,1997-06-01,6.4915
IE,1997-07-01,6.2587
IE,1997-08-01,6.33
IE,1997-09-01,6.1032
IE,1997-10-01,5.9945
IE,1997-11-01,5.978
IE,1997-12-01,5.6065
IE,1998-01-01,5.3476
IE,1998-02-01,5.227
IE,1998-03-01,5.079
IE,1998-04-01,5.048
IE,1998-05-01,5.1385
IE,1998-06-01,5.0271
IE,1998-07-01,4.9252
IE,1998-08-01,4.6755
IE,1998-09-01,4.385
IE,1998-10-01,4.3486
IE,1998-11-01,4.3224
IE,1998-12-01,4.018
IE,1999-01-01,3.8915
IE,1999-02-01,4.0235
IE,1999-03-01,4.1878
IE,1999-04-01,3.9468
IE,1999-05-01,4.1819
IE,1999-06-01,4.5855
IE,1999-07-01,4.9409
IE,1999-08-01,5.1564
IE,1999-09-01,5.3355
IE,1999-10-01,5.5745
IE,1999-11-01,5.3068
IE,1999-12-01,5.403
IE,2000-01-01,5.8
IE,2000-02-01,5.76
IE,2000-03-01,5.58
IE,2000-04-01,5.46
IE,2000-05-01,5.61
IE,2000-06-01,5.43
IE,2000-07-01,5.52
IE,2000-08-01,5.47
IE,2000-09-01,5.52
IE,2000-10-01,5.46
IE,2000-11-01,5.4
IE,2000-12-01,5.14
IE,2001-01-01,5.03
IE,2001-02-01,5.01
IE,2001-03-01,4.92
IE,2001-04-01,5.09
IE,2001-05-01,5.28
IE,2001-06-01,5.23
IE,2001-07-01,5.23
IE,2001-08-01,5.01
IE,2001-09-01,5.01
IE,2001-10-01,4.77
IE,2001-11-01,4.63
IE,2001-12-01,4.93
IE,2002-01-01,5.02
IE,2002-02-01,5.2
IE,2002-03-01,5.42
IE,2002-04-01,5.41
IE,2002-05-01,5.41
IE,2002-06-01,5.25
IE,2002-07-01,5.11
IE,2002-08-01,4.84
IE,2002-09-01,4.63
IE,2002-10-01,4.7
IE,2002-11-01,4.67
IE,2002-12-01,4.46
IE,2003-01-01,4.27
IE,2003-02-01,4.06
IE,2003-03-01,4.09
IE,2003-04-01,4.22
IE,2003-05-01,3.89
IE,2003-06-01,3.69
IE,2003-07-01,4.01
IE,2003-08-01,4.17
IE,2003-09-01,4.19
IE,2003-10-01,4.25
IE,2003-11-01,4.39
IE,2003-12-01,4.36
IE,2004-01-01,4.2
IE,2004-02-01,4.15
IE,2004-03-01,3.97
IE,2004-04-01,4.17
IE,2004-05-01,4.31
IE,2004-06-01,4.38
IE,2004-07-01,4.27
IE,2004-08-01,4.09
IE,2004-09-01,4.04
IE,2004-10-01,3.92
IE,2004-11-01,3.8
IE,2004-12-01,3.62
IE,2005-01-01,3.52
IE,2005-02-01,3.51
IE,2005-03-01,3.66
IE,2005-04-01,3.46
IE,2005-05-01,3.28
IE,2005-06-01,3.13
IE,2005-07-01,3.18
IE,2005-08-01,3.22
IE,2005-09-01,3.04
IE,2005-10-01,3.19
IE,2005-11-01,3.4
IE,2005-12-01,3.36
IE,2006-01-01,3.32
IE,2006-02-01,3.47
IE,2006-03-01,3.65
IE,2006-04-01,3.9
IE,2006-05-01,3.96
IE,2006-06-01,3.98
IE,2006-07-01,4
IE,2006-08-01,3.88
IE,2006-09-01,3.76
IE,2006-10-01,3.78
IE,2006-11-01,3.72
IE,2006-12-01,3.76
IE,2007-01-01,4.04
IE,2007-02-01,4.07
IE,2007-03-01,3.97
IE,2007-04-01,4.19
IE,2007-05-01,4.32
IE,2007-06-01,4.62
IE,2007-07-01,4.59
IE,2007-08-01,4.4
IE,2007-09-01,4.32
IE,2007-10-01,4.39
IE,2007-11-01,4.31
IE,2007-12-01,4.45
IE,2008-01-01,4.25
IE,2008-02-01,4.21
IE,2008-03-01,4.17
IE,2008-04-01,4.44
IE,2008-05-01,4.58
IE,2008-06-01,4.91
IE,2008-07-01,4.92
IE,2008-08-01,4.59
IE,2008-09-01,4.56
IE,2008-10-01,4.55
IE,2008-11-01,4.56
IE,2008-12-01,4.57
IE,2009-01-01,5.2
IE,2009-02-01,5.65
IE,2009-03-01,5.76
IE,2009-04-01,5.34
IE,2009-05-01,5.27
IE,2009-06-01,5.73
IE,2009-07-01,5.45
IE,2009-08-01,4.92
IE,2009-09-01,4.91
IE,2009-10-01,4.77
IE,2009-11-01,4.82
IE,2009-12-01,4.88
IE,2010-01-01,4.83
IE,2010-02-01,4.73
IE,2010-03-01,4.53
IE,2010-04-01,4.76
IE,2010-05-01,4.86
IE,2010-06-01,5.31
IE,2010-07-01,5.32
IE,2010-08-01,5.3
IE,2010-09-01,6.14
IE,2010-10-01,6.42
IE,2010-11-01,8.22
IE,2010-12-01,8.45
IE,2011-01-01,8.75
IE,2011-02-01,9.1
IE,2011-03-01,9.67
IE,2011-04-01,9.79
IE,2011-05-01,10.64
IE,2011-06-01,11.43
IE,2011-07-01,12.45
IE,2011-08-01,9.57
IE,2011-09-01,8.51
IE,2011-10-01,8.1
IE,2011-11-01,8.51
IE,2011-12-01,8.7
IE,2012-01-01,7.71
IE,2012-02-01,7.02
IE,2012-03-01,6.9
IE,2012-04-01,6.88
IE,2012-05-01,7.12
IE,2012-06-01,7.09
IE,2012-07-01,6.12
IE,2012-08-01,5.91
IE,2012-09-01,5.28
IE,2012-10-01,4.77
IE,2012-11-01,4.59
IE,2012-12-01,4.67
IE,2013-01-01,4.18
IE,2013-02-01,3.78
IE,2013-03-01,3.83
IE,2013-04-01,3.78
IE,2013-05-01,3.48
IE,2013-06-01,4.02
IE,2013-07-01,3.88
IE,2013-08-01,3.92
IE,2013-09-01,3.95
IE,2013-10-01,3.65
IE,2013-11-01,3.53
IE,2013-12-01,3.48
IE,2014-01-01,3.39
IE,2014-02-01,3.24
IE,2014-03-01,3.05
IE,2014-04-01,2.9
IE,2014-05-01,2.71
IE,2014-06-01,2.44
IE,2014-07-01,2.28
IE,2014-08-01,2.02
IE,2014-09-01,1.75
IE,2014-10-01,1.74
IE,2014-11-01,1.58
IE,2014-12-01,1.31
IE,2015-01-01,1.22
IE,2015-02-01,1.12
IE,2015-03-01,0.8
IE,2015-04-01,0.73
IE,2015-05-01,1.25
IE,2015-06-01,1.65
IE,2015-07-01,1.47
IE,2015-08-01,1.29
IE,2015-09-01,1.31
IE,2015-10-01,1.14
IE,2015-11-01,1.1
IE,2015-12-01,1.11
IE,2016-01-01,1.05
IE,2016-02-01,0.99
IE,2016-03-01,0.85
IE,2016-04-01,0.86
IE,2016-05-01,0.84
IE,2016-06-01,0.76
IE,2016-07-01,0.47
IE,2016-08-01,0.4
IE,2016-09-01,0.42
IE,2016-10-01,0.5
IE,2016-11-01,0.85
IE,2016-12-01,0.84
IE,2017-01-01,0.99
IE,2017-02-01,1.06
IE,2017-03-01,1.05
IE,2017-04-01,0.91
IE,2017-05-01,0.83
IE,2017-06-01,0.7
IE,2017-07-01,0.87
IE,2017-08-01,0.73
IE,2017-09-01,0.7
IE,2017-10-01,0.66
IE,2017-11-01,0.58
IE,2017-12-01,0.54
IE,2018-01-01,0.9126
IE,2018-02-01,1.1328
IE,2018-03-01,1.0056
IE,2018-04-01,0.9435
IE,2018-05-01,0.9821
IE,2018-06-01,0.924
IE,2018-07-01,0.8271
IE,2018-08-01,0.8618
IE,2018-09-01,0.9327
IE,2018-10-01,1.0082
IE,2018-11-01,0.9827
IE,2018-12-01,0.909
IE,2019-01-01,0.9351
IE,2019-02-01,0.8436
IE,2019-03-01,0.6683
IE,2019-04-01,0.5596
IE,2019-05-01,0.4995
IE,2019-06-01,0.2664
IE,2019-07-01,0.1355
IE,2019-08-01,-0.0505
IE,2019-09-01,-0.0104
IE,2019-10-01,0.0161
IE,2019-11-01,0.0722
IE,2019-12-01,0.0373
IE,2020-01-01,0.0041
IE,2020-02-01,-0.1312
IE,2020-03-01,0.0687
IE,2020-04-01,0.2012
IE,2020-05-01,0.1072
IE,2020-06-01,0.0835
IE,2020-07-01,-0.0473
IE,2020-08-01,-0.1219
IE,2020-09-01,-0.1331
IE,2020-10-01,-0.2224
IE,2020-11-01,-0.251
IE,2020-12-01,-0.2903
IE,2021-01-01,-0.2418
IE,2021-02-01,-0.0551
IE,2021-03-01,0.0276
IE,2021-04-01,0.082
IE,2021-05-01,0.2372
IE,2021-06-01,0.1787
IE,2021-07-01,0.0309
IE,2021-08-01,-0.0788
IE,2021-09-01,0.0674
IE,2021-10-01,0.2224
IE,2021-11-01,0.1876
IE,2021-12-01,0.0998
IE,2022-01-01,0.3803
IE,2022-02-01,0.7751
IE,2022-03-01,0.9293
IE,2022-04-01,1.4021
IE,2022-05-01,1.6275
IE,2022-06-01,2.129
IE,2022-07-01,1.7438
IE,2022-08-01,1.7127
IE,2022-09-01,2.418
IE,2022-10-01,2.7093
IE,2022-11-01,2.5341
IE,2022-12-01,2.5862
IE,2023-01-01,2.6546
IE,2023-02-01,2.8568
IE,2023-03-01,2.8565
IE,2023-04-01,2.7713
IE,2023-05-01,2.7861
IE,2023-06-01,2.778
IE,2023-07-01,2.899
IE,2023-08-01,2.9644
IE,2023-09-01,3.087
IE,2023-10-01,3.2719
