country,date,debt_gdp
DE,2008-01-01,64
DE,2008-04-01,64.8
DE,2008-07-01,64.3
DE,2008-10-01,65.2
DE,2009-01-01,67.2
DE,2009-04-01,70.8
DE,2009-07-01,71.7
DE,2009-10-01,72.4
DE,2010-01-01,72.5
DE,2010-04-01,73.2
DE,2010-07-01,73.3
DE,2010-10-01,81
DE,2011-01-01,79.8
DE,2011-04-01,79.3
DE,2011-07-01,79
DE,2011-10-01,78.5
DE,2012-01-01,79
DE,2012-04-01,80.4
DE,2012-07-01,79.9
DE,2012-10-01,79.8
DE,2013-01-01,79.4
DE,2013-04-01,78.8
DE,2013-07-01,77.5
DE,2013-10-01,77.5
DE,2014-01-01,76.2
DE,2014-04-01,75.8
DE,2014-07-01,75.2
DE,2014-10-01,74.5
DE,2015-01-01,74.2
DE,2015-04-01,72.4
DE,2015-07-01,71.9
DE,2015-10-01,71.2
IE,2008-01-01,26.4
IE,2008-04-01,31
IE,2008-07-01,37.1
IE,2008-10-01,42.5
IE,2009-01-01,49.1
IE,2009-04-01,56.8
IE,2009-07-01,59.4
IE,2009-10-01,61.8
IE,2010-01-01,74.1
IE,2010-04-01,74.4
IE,2010-07-01,83.6
IE,2010-10-01,86.2
IE,2011-01-01,92.6
IE,2011-04-01,93.1
IE,2011-07-01,109.4
IE,2011-10-01,109.6
IE,2012-01-01,111.7
IE,2012-04-01,114.2
IE,2012-07-01,119.7
IE,2012-10-01,118.9
IE,2013-01-01,123.4
IE,2013-04-01,122.9
IE,2013-07-01,121.1
IE,2013-10-01,117.7
IE,2014-01-01,115
IE,2014-04-01,109.5
IE,2014-07-01,106.6
IE,2014-10-01,101.4
IE,2015-01-01,93.3
IE,2015-04-01,87.2
IE,2015-07-01,80.7
IE,2015-10-01,74
EL,2008-01-01,105.4
EL,2008-04-01,106.6
EL,2008-07-01,108
EL,2008-10-01,110.9
EL,2009-01-01,119.2
EL,2009-04-01,123.7
EL,2009-07-01,126.6
EL,2009-10-01,128.5
EL,2010-01-01,132.1
EL,2010-04-01,135.6
EL,2010-07-01,143.3
EL,2010-10-01,147.8
EL,2011-01-01,157.1
EL,2011-04-01,160.1
EL,2011-07-01,166.1
EL,2011-10-01,175.1
EL,2012-01-01,141.4
EL,2012-04-01,155.6
EL,2012-07-01,159
EL,2012-10-01,164.1
EL,2013-01-01,167.4
EL,2013-04-01,175.5
EL,2013-07-01,177.2
EL,2013-10-01,180.4
EL,2014-01-01,181.3
EL,2014-04-01,184.1
EL,2014-07-01,182.3
EL,2014-10-01,182.7
EL,2015-01-01,173.5
EL,2015-04-01,173
EL,2015-07-01,175.4
EL,2015-10-01,179.6
ES,2008-01-01,34.9
ES,2008-04-01,35.4
ES,2008-07-01,36.3
ES,2008-10-01,39.6
ES,2009-01-01,43
ES,2009-04-01,46.9
ES,2009-07-01,49.4
ES,2009-10-01,53.1
ES,2010-01-01,54.7
ES,2010-04-01,56.7
ES,2010-07-01,57.7
ES,2010-10-01,60.3
ES,2011-01-01,64.1
ES,2011-04-01,66
ES,2011-07-01,66.4
ES,2011-10-01,69.5
ES,2012-01-01,73.6
ES,2012-04-01,77.1
ES,2012-07-01,78.7
ES,2012-10-01,89.6
ES,2013-01-01,97.1
ES,2013-04-01,98.8
ES,2013-07-01,100
ES,2013-10-01,100
ES,2014-01-01,102.6
ES,2014-04-01,103.6
ES,2014-07-01,103.9
ES,2014-10-01,104.4
ES,2015-01-01,104.5
ES,2015-04-01,103.8
ES,2015-07-01,103.5
ES,2015-10-01,102.5
FR,2008-01-01,67
FR,2008-04-01,67.3
FR,2008-07-01,67.8
FR,2008-10-01,69.8
FR,2009-01-01,74.7
FR,2009-04-01,80
FR,2009-07-01,82.6
FR,2009-10-01,84.1
FR,2010-01-01,86
FR,2010-04-01,88.2
FR,2010-07-01,86.3
FR,2010-10-01,86.3
FR,2011-01-01,87.5
FR,2011-04-01,89
FR,2011-07-01,88.2
FR,2011-10-01,88.7
FR,2012-01-01,91.1
FR,2012-04-01,92.6
FR,2012-07-01,91.3
FR,2012-10-01,91.7
FR,2013-01-01,93.4
FR,2013-04-01,95
FR,2013-07-01,94
FR,2013-10-01,94.6
FR,2014-01-01,96.3
FR,2014-04-01,96.9
FR,2014-07-01,96.8
FR,2014-10-01,96.2
FR,2015-01-01,98.1
FR,2015-04-01,98.3
FR,2015-07-01,97.8
FR,2015-10-01,97
IT,2008-01-01,105.7
IT,2008-04-01,105.1
IT,2008-07-01,104.4
IT,2008-10-01,105.8
IT,2009-01-01,111.8
IT,2009-04-01,114.2
IT,2009-07-01,117.4
IT,2009-10-01,116.1
IT,2010-01-01,118.2
IT,2010-04-01,119
IT,2010-07-01,119.6
IT,2010-10-01,118.8
IT,2011-01-01,119
IT,2011-04-01,120.3
IT,2011-07-01,118.5
IT,2011-10-01,119.1
IT,2012-01-01,122.3
IT,2012-04-01,124.5
IT,2012-07-01,126
IT,2012-10-01,125.9
IT,2013-01-01,129.6
IT,2013-04-01,132.4
IT,2013-07-01,131.9
IT,2013-10-01,131.9
IT,2014-01-01,134.5
IT,2014-04-01,137.2
IT,2014-07-01,135
IT,2014-10-01,134.8
IT,2015-01-01,137.5
IT,2015-04-01,138.2
IT,2015-07-01,136.8
IT,2015-10-01,134.8
NL,2008-01-01,43.7
NL,2008-04-01,43.6
NL,2008-07-01,43.9
NL,2008-10-01,54.3
NL,2009-01-01,57.1
NL,2009-04-01,56.3
NL,2009-07-01,56.8
NL,2009-10-01,56.3
NL,2010-01-01,57.2
NL,2010-04-01,58.8
NL,2010-07-01,58.7
NL,2010-10-01,58.9
NL,2011-01-01,59.1
NL,2011-04-01,60
NL,2011-07-01,60.6
NL,2011-10-01,61.2
NL,2012-01-01,62
NL,2012-04-01,63.5
NL,2012-07-01,64.4
NL,2012-10-01,65.7
NL,2013-01-01,66.2
NL,2013-04-01,67.8
NL,2013-07-01,67.3
NL,2013-10-01,67.2
NL,2014-01-01,66.6
NL,2014-04-01,68
NL,2014-07-01,67.4
NL,2014-10-01,67.2
NL,2015-01-01,68.2
NL,2015-04-01,66
NL,2015-07-01,65
NL,2015-10-01,63.8
AT,2008-01-01,67.5
AT,2008-04-01,67.1
AT,2008-07-01,67.2
AT,2008-10-01,69.5
AT,2009-01-01,73.2
AT,2009-04-01,75.4
AT,2009-07-01,74.5
AT,2009-10-01,80.8
AT,2010-01-01,81.3
AT,2010-04-01,84.1
AT,2010-07-01,84.3
AT,2010-10-01,83.7
AT,2011-01-01,83.2
AT,2011-04-01,83.1
AT,2011-07-01,82.7
AT,2011-10-01,83.4
AT,2012-01-01,84.3
AT,2012-04-01,85.3
AT,2012-07-01,83.7
AT,2012-10-01,82.9
AT,2013-01-01,83.9
AT,2013-04-01,83.7
AT,2013-07-01,85.3
AT,2013-10-01,82.4
AT,2014-01-01,82.6
AT,2014-04-01,83.7
AT,2014-07-01,82.1
AT,2014-10-01,85.2
AT,2015-01-01,85.7
AT,2015-04-01,86.7
AT,2015-07-01,86.8
AT,2015-10-01,85.6
PT,2008-01-01,71.4
PT,2008-04-01,73.1
PT,2008-07-01,73.3
PT,2008-10-01,75.5
PT,2009-01-01,78.7
PT,2009-04-01,84
PT,2009-07-01,84
PT,2009-10-01,87.6
PT,2010-01-01,90.1
PT,2010-04-01,93.6
PT,2010-07-01,97.4
PT,2010-10-01,99.9
PT,2011-01-01,101.1
PT,2011-04-01,112.4
PT,2011-07-01,116.3
PT,2011-10-01,114
PT,2012-01-01,118.2
PT,2012-04-01,123.4
PT,2012-07-01,126.2
PT,2012-10-01,128.6
PT,2013-01-01,131.1
PT,2013-04-01,134.4
PT,2013-07-01,130.6
PT,2013-10-01,130.8
PT,2014-01-01,134.7
PT,2014-04-01,132.6
PT,2014-07-01,134.6
PT,2014-10-01,132.5
PT,2015-01-01,132.5
PT,2015-04-01,130.8
PT,2015-07-01,132.4
PT,2015-10-01,131
