country,date,deficit_gdp
DE,2008-01-01,-0.9
DE,2008-04-01,1.3
DE,2008-07-01,-0.9
DE,2008-10-01,-0.6
DE,2009-01-01,-1.7
DE,2009-04-01,-1.5
DE,2009-07-01,-5.1
DE,2009-10-01,-4.3
DE,2010-01-01,-5.1
DE,2010-04-01,-2
DE,2010-07-01,-8.7
DE,2010-10-01,-1.9
DE,2011-01-01,-1.8
DE,2011-04-01,0.8
DE,2011-07-01,-1.9
DE,2011-10-01,-0.5
DE,2012-01-01,-0.7
DE,2012-04-01,1.4
DE,2012-07-01,-0.6
DE,2012-10-01,-0.3
DE,2013-01-01,-1
DE,2013-04-01,1.9
DE,2013-07-01,-0.6
DE,2013-10-01,0.3
DE,2014-01-01,0.3
DE,2014-04-01,2
DE,2014-07-01,-0.1
DE,2014-10-01,0.8
DE,2015-01-01,0.5
DE,2015-04-01,2
DE,2015-07-01,0.8
DE,2015-10-01,0.4
IE,2008-01-01,-3.8
IE,2008-04-01,-9.7
IE,2008-07-01,-9.1
IE,2008-10-01,-5.6
IE,2009-01-01,-11.3
IE,2009-04-01,-18.7
IE,2009-07-01,-15.7
IE,2009-10-01,-9.6
IE,2010-01-01,-39.7
IE,2010-04-01,-15.2
IE,2010-07-01,-32.1
IE,2010-10-01,-41.6
IE,2011-01-01,-10.4
IE,2011-04-01,-9
IE,2011-07-01,-26
IE,2011-10-01,-8.3
IE,2012-01-01,-10.9
IE,2012-04-01,-9
IE,2012-07-01,-7.7
IE,2012-10-01,-6.1
IE,2013-01-01,-9.3
IE,2013-04-01,-4.2
IE,2013-07-01,-6.4
IE,2013-10-01,-5.4
IE,2014-01-01,-5.8
IE,2014-04-01,-2.9
IE,2014-07-01,-4
IE,2014-10-01,-1.6
IE,2015-01-01,-3.4
IE,2015-04-01,-0.8
IE,2015-07-01,-2
IE,2015-10-01,-1.7
EL,2008-01-01,-9
EL,2008-04-01,-15.9
EL,2008-07-01,-6.2
EL,2008-10-01,-10.3
EL,2009-01-01,-16
EL,2009-04-01,-15.3
EL,2009-07-01,-13.8
