variable,estimate,std_error,ci_lower,ci_upper,p_value,model,se_type
debt_gdp,4.93046349905069,1.777227971085271,1.447096675723559,8.413830322377821,0.005957419684486205,Baseline,cluster-robust
deficit_gdp,-2.1837734311227854,3.109365935537603,-8.278130664776487,3.910583802530916,0.48314291412968924,Baseline,cluster-robust
debt_gdp,-2.282230883836105,2.260048006005296,-6.711924975606485,2.1474632079342753,0.31358416002517026,Macro,cluster-robust
deficit_gdp,4.468380838507986,2.865964499574743,-1.1489095806585095,10.085671257674482,0.12026418798882237,Macro,cluster-robust
gdp_growth,-20.36952613968619,17.31009188413988,-54.29730623260035,13.558253953227972,0.2404448557085913,Macro,cluster-robust
unemployment,44.733714416390846,8.743909349983912,27.595652090422377,61.871776742359316,6.32021956591374e-7,Macro,cluster-robust
debt_gdp,-2.282230883836105,3.102665709439934,-8.363455674338375,3.7989939066661655,0.46269829363429793,Macro,driscoll-kraay
deficit_gdp,4.468380838507986,3.0661690268899866,-1.5413104541963873,10.478072131212361,0.14631460491048112,Macro,driscoll-kraay
gdp_growth,-20.36952613968619,11.757735624307278,-43.414687963328454,2.6756356839560738,0.08445955944608559,Macro,driscoll-kraay
unemployment,44.733714416390846,15.047979463953306,15.239674667042369,74.22775416573933,0.003247025637753681,Macro,driscoll-kraay
debt_gdp,-2.6047890889060406,2.3265741353379266,-7.164874394168377,1.9552962163562957,0.26399759124719085,Full,cluster-robust
deficit_gdp,3.726680127756315,3.6079651568224396,-3.3449315796156665,10.798291835128296,0.30267590891030327,Full,cluster-robust
gdp_growth,-18.92200047893669,17.37913494414899,-52.98510496946871,15.141104011595331,0.2773309020570255,Full,cluster-robust
unemployment,51.63735041191297,12.219299154124709,27.68752406982854,75.5871767539974,3.369380719852218e-5,Full,cluster-robust
inflation,27.357152471680223,28.09426645763451,-27.707609785283417,82.42191472864386,0.33114263934203614,Full,cluster-robust
debt_gdp,-2.6047890889060406,3.0904324223625377,-8.662036636736614,3.4524584589245335,0.40013790025534346,Full,driscoll-kraay
deficit_gdp,3.726680127756315,3.2129903002774705,-2.5707808607875275,10.024141116300157,0.2472364064182991,Full,driscoll-kraay
gdp_growth,-18.92200047893669,11.434421908739372,-41.33346742006586,3.489466462192482,0.0992503828645759,Full,driscoll-kraay
unemployment,51.63735041191297,14.712780076537864,22.800301461898755,80.47439936192718,5.34491386290475e-4,Full,driscoll-kraay
inflation,27.357152471680223,15.439285067751458,-2.9038462611126334,57.61815120447308,0.07766124479888906,Full,driscoll-kraay
debt_gdp,-5.888165498940712,3.964100048111478,-13.65780159323921,1.8814705953577855,0.13874663727250544,Crisis Interactions,cluster-robust
deficit_gdp,5.378609156684248,3.271730402840319,-1.0339824328827776,11.791200746251274,0.10148195716536877,Crisis Interactions,cluster-robust
gdp_growth,-10.85759638904265,7.9011880499146185,-26.3439249668753,4.628732188790002,0.1706594286406787,Crisis Interactions,cluster-robust
unemployment,63.39551042123938,17.568596529798306,28.9610612228347,97.82995961964406,3.7422767028813785e-4,Crisis Interactions,cluster-robust
debt_crisis,8.30567382882653,2.874862759666555,2.670942819880082,13.940404837772977,0.004214260425503403,Crisis Interactions,cluster-robust
deficit_crisis,-3.1000009371846846,5.839220378049425,-14.544872878161557,8.344871003792187,0.5959798394323752,Crisis Interactions,cluster-robust
debt_gdp,-5.888165498940712,3.2381328071317443,-12.23490580091893,0.4585748030375072,0.07024180730411778,Crisis Interactions,driscoll-kraay
deficit_gdp,5.378609156684248,3.5264356770826835,-1.5332047703978118,12.290423083766306,0.1285086938904194,Crisis Interactions,driscoll-kraay
gdp_growth,-10.85759638904265,5.56380591671754,-21.76265598580903,0.04746320772373025,0.05215498746386378,Crisis Interactions,driscoll-kraay
unemployment,63.39551042123938,15.954223727633774,32.12523191507718,94.66578892740158,9.346805850732796e-5,Crisis Interactions,driscoll-kraay
debt_crisis,8.30567382882653,2.3737434277310725,3.6531367104736274,12.958210947179431,5.557411150649533e-4,Crisis Interactions,driscoll-kraay
deficit_crisis,-3.1000009371846846,3.5278357623661067,-10.014559031422253,3.8145571570528847,0.38042151579037253,Crisis Interactions,driscoll-kraay
(Intercept),7.761564871696311,4.923345796445291,-1.8881928893364597,17.41132263272908,0.11606864946142241,First-Difference,cluster-robust
debt_gdp,-10.880818174745112,5.718566925633215,-22.089209348986213,0.32757299949598817,0.05812560320840608,First-Difference,cluster-robust
deficit_gdp,-0.19178539024818902,0.5279112821319147,-1.2264915032267418,0.8429207227303639,0.7166676734918873,First-Difference,cluster-robust
gdp_growth,-8.937179517306571,7.156572675000209,-22.96406196030698,5.089702925693839,0.21280149044601826,First-Difference,cluster-robust
unemployment,63.848048445507814,25.817344251585222,13.24605371240078,114.45004317861485,0.014002744464547428,First-Difference,cluster-robust
