date,cv_debt,cv_gdp_growth,cv_unemployment,cv_spread,sd_debt,sd_gdp_growth,sd_unemployment,sd_spread,range_debt,range_unemployment,range_spread,year,quarter
2008-01-01,0.42722786211743846,0.6529584548555237,0.32730944054407307,0.6937939759510563,27.817280800090995,1.1027742793115511,2.1166010488516727,19.56267747523328,79.30000000000001,6.5,65.99999999999993,2008,1
2008-04-01,0.41129596519119027,2.821811429166424,0.3513288383590535,0.5545941931428526,27.145533702618557,1.5363195558794978,2.2836374493338476,17.447327911017442,75.6,7.5,53.00000000000003,2008,2
2008-07-01,0.39171148588319227,4.731689855526131,0.36573399500004844,0.5896404420067369,26.214203105271853,1.419506956657839,2.4585451886114367,22.589562103975876,71.7,8.600000000000001,72.66666666666666,2008,3
2008-10-01,0.3530357703376776,0.566946709513841,0.4150137457304648,0.6511021579100001,24.834105133420408,1.2346839451634757,3.038822871515292,49.99548206748779,71.30000000000001,11,171.66666666666663,2008,4
2009-01-01,0.34695139062777863,0.27446512837478465,0.450077008297659,0.6760821513932795,25.9828041425692,1.2686388155990045,3.73563916887057,84.89062773451788,76.2,13.4,258.33333333333337,2009,1
2009-04-01,0.32963386067263384,0.2975601463923843,0.4629915246600079,0.7036060497138288,25.934859638032446,1.5605376566356155,4.130913270022071,70.79605893770577,76.80000000000001,14.499999999999998,212.33333333333331,2009,2
2009-07-01,0.3293416509408545,0.29996521223744477,0.44989474745294084,0.7959404872441707,26.435156515519253,1.3131810402394806,4.149029337621565,61.343722937454345,77.19999999999999,14.3,179.00000000000006,2009,3
2009-10-01,0.3144347863894176,0.49272295724160126,0.4558138559668672,0.8366656716040183,25.877982919849064,1.2427567921538165,4.360619222083029,62.509771334933546,75.4,14.8,188.00000000000003,2009,4
2010-01-01,0.30311264480286765,13.072114500523352,0.4746036111819517,1.0135711701936736,25.804989827550795,1.8881943167422623,4.719669244531631,94.7771631411619,77.39999999999999,15.4,311.66666666666663,2010,1
2010-04-01,0.301202003413281,2.6394965710832685,0.4873285345245073,1.1343256650614715,26.22465443051633,2.903446228191595,4.889529629729223,179.41587032215622,78.89999999999999,15.499999999999998,582.3333333333333,2010,2
